Year,Age,Total
2007,10 to 17,2803203
2007,18 to 24,2533831
2007,25+,18097134
2008,10 to 17,2788244
2008,18 to 24,2556904
2008,25+,18298823
2009,10 to 17,2766616
2009,18 to 24,2573833
2009,25+,18475859
2010,10 to 17,2747176
2010,18 to 24,2618949
2010,25+,18653685
2011,10 to 17,2723900
2011,18 to 24,2663002
2011,25+,18840814
2012,10 to 17,2681453
2012,18 to 24,2676900
2012,25+,18991574
2013,10 to 17,2657517
2013,18 to 24,2662828
2013,25+,19168095
2014,10 to 17,2645163
2014,18 to 24,2666514
2014,25+,19368570
2015,10 to 17,2642342
2015,18 to 24,2667088
2015,25+,19583890
2016,10 to 17,2665174
2016,18 to 24,2652675
2016,25+,19821429
2017,10 to 17,2695784
2017,18 to 24,2627159
2017,25+,19990364
2018,10 to 17,2748393
2018,18 to 24,2613579
2018,25+,20152268
2019,10 to 17,2804431
2019,18 to 24,2583819
2019,25+,20309669
