Year,Age,Total
2007,18 to 24,735850
2007,25+,3497100
2008,18 to 24,791150
2008,25+,3649400
2009,18 to 24,773000
2009,25+,3802400
2010,18 to 24,803400
2010,25+,3971100
2011,18 to 24,867350
2011,25+,4382700
2012,18 to 24,863500
2012,25+,4311000
2013,18 to 24,867900
2013,25+,4385100
2014,18 to 24,886300
2014,25+,4517500
2015,18 to 24,879100
2015,25+,4673100
2016,18 to 24,893850
2016,25+,4901000
2017,18 to 24,914350
2017,25+,4900100
2018,18 to 24,1066540
2018,25+,5613522
2019,18 to 24,1070481.5
2019,25+,5734628
