Year,Age,Total
2007,10 to 17,5474342
2007,18 to 24,5033116
2007,25+,37560418
2008,10 to 17,5453222
2008,18 to 24,5090086
2008,25+,37909362
2009,10 to 17,5408829
2009,18 to 24,5130482
2009,25+,38236900
2010,10 to 17,5359874
2010,18 to 24,5195663
2010,25+,38584230
2011,10 to 17,5312004
2011,18 to 24,5261995
2011,25+,38935748
2012,10 to 17,5229864
2012,18 to 24,5269602
2012,25+,39243978
2013,10 to 17,5183248
2013,18 to 24,5228936
2013,25+,39582631
2014,10 to 17,5163989
2014,18 to 24,5217553
2014,25+,39969791
2015,10 to 17,5157876
2015,18 to 24,5213123
2015,25+,40366546
2016,10 to 17,5199807
2016,18 to 24,5170500
2016,25+,40797534
2017,10 to 17,5257414
2017,18 to 24,5112297
2017,25+,41137052
