LA,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Darlington,8000,8300,8400,8500,8500,8300,8100,8100,7900,7800,7500
County Durham,47900,48000,48500,49900,50000,50400,51000,51200,51300,50600,49500
Hartlepool,7900,8100,8300,8300,8400,8300,8200,8100,8100,7900,7600
Middlesbrough,16400,16000,15600,15700,16100,16500,16400,16200,16200,16200,15900
Northumberland,22400,22800,23200,23600,23500,23000,22800,22600,22000,21400,21000
Redcar and Cleveland,11300,11400,11500,11600,11600,11400,11300,11100,11000,10700,10400
Stockton-on-Tees,17400,17700,17800,18000,17900,17900,17700,17500,17200,16800,16200
Gateshead,17100,17200,17200,17300,17100,16600,16300,16500,17400,17400,17200
Newcastle upon Tyne,45500,44600,45000,46900,48200,49900,50700,51400,51500,51000,50900
North Tyneside,15300,15500,15500,15400,15400,14900,14900,14700,14500,14300,13900
South Tyneside,12900,13100,13300,13300,13200,12900,12800,12700,12400,12000,11700
Sunderland,26800,26600,26800,27200,27300,27600,27300,27200,26700,25900,24400
Blackburn with Darwen,13700,13800,13900,13800,13400,13200,13100,13100,13100,13100,12900
Blackpool,12000,12000,12000,12200,12000,11900,12100,11800,11700,11400,11100
Cheshire East,26000,26400,26600,26800,27300,27300,26900,26600,26500,25900,25000
Cheshire West and Chester,28000,28000,28000,28000,27800,27700,27600,27900,28100,27800,27400
Halton,11000,11100,11200,11200,11100,10800,10600,10500,10400,10200,9900
Warrington,16000,16300,16700,16700,16800,16700,16300,16200,16000,15600,15300
Allerdale,6400,6600,6700,6700,6800,6900,6900,7000,7000,6800,6700
Barrow-in-Furness,5500,5500,5600,5600,5700,5600,5500,5400,5400,5300,5200
Carlisle,10800,10100,9500,9400,9500,9800,9700,9500,9300,8900,8400
Copeland,5200,5300,5400,5400,5400,5400,5300,5300,5200,5100,4800
Eden,3400,3400,3500,3600,3600,3700,3700,3700,3500,3400,3200
South Lakeland,6600,6500,6500,6600,6300,6300,6300,6400,6600,6500,6500
Bolton,23400,24200,24600,24900,25000,25300,24800,24300,23900,23800,23400
Bury,14600,14800,15000,15200,15100,14800,14700,14600,14200,14100,14000
Manchester,84500,84300,84000,85400,87200,88600,85700,85400,86500,87400,87300
Oldham,20000,20300,20400,20200,20400,20200,20000,19700,19700,19600,19600
Rochdale,18800,19100,19300,19300,19600,19200,18900,18900,18600,18300,18200
Salford,26400,26400,25900,26100,26100,25900,25200,25000,25400,24600,24900
Stockport,20800,21100,21500,21500,21500,21200,20900,20700,20500,20100,19300
Tameside,18700,19100,19300,19300,19300,18900,18700,18200,18000,17600,17400
Trafford,16300,16500,16700,16800,16800,16500,16200,16300,15800,15400,15200
Wigan,26000,26500,26800,26900,26900,26600,26300,26000,25700,24900,24200
Burnley,7900,8000,7900,7900,7800,7700,7400,7500,7300,7200,6800
Chorley,7800,8300,8300,8300,8400,8200,8200,8200,8100,8000,7700
Fylde,4800,4800,5000,5100,5000,4900,4800,4700,4700,4600,4400
Hyndburn,7000,7200,7100,7100,6900,6800,6800,6800,6700,6500,6400
Lancaster,17700,17000,17100,18300,19300,20500,20500,20600,20300,20100,19800
Pendle,7900,8100,8100,8000,7800,7500,7200,6900,6900,6700,6400
Preston,20400,19400,18400,18500,19300,19900,19300,19000,19100,18700,18600
Ribble Valley,3600,3700,3800,3900,4000,4000,4000,3900,3900,3800,3800
Rossendale,5100,5200,5500,5500,5400,5300,5400,5200,5100,4900,4900
South Ribble,8400,8500,8800,8800,8800,8600,8300,8200,8000,7700,7600
West Lancashire,9600,9800,10000,10700,10700,11200,11700,12000,12100,12300,12500
Wyre,7700,7800,7900,7900,8000,7900,7900,7900,7700,7700,7300
Knowsley,14000,14200,14000,14000,13900,13800,13700,13600,13500,13200,12700
Liverpool,66200,65900,66800,67000,67900,69200,68600,67800,68800,69300,69300
Sefton,22000,22400,22700,22500,22400,22000,21800,21300,20900,20200,19200
St. Helens,14200,14300,14700,14800,14900,14700,14400,14400,14200,13900,13500
Wirral,24700,25100,25600,25700,25600,25200,24800,24400,23800,23100,22600
East Riding of Yorkshire,23500,23400,23400,23600,23900,24100,24000,24000,23300,23100,21900
"Kingston upon Hull, City of",32300,32700,32400,32200,31600,31700,30900,30400,30000,29100,29000
North East Lincolnshire,14200,14600,14900,14900,14600,14400,13900,13500,13100,12500,11900
North Lincolnshire,12800,13200,13400,13400,13300,13200,13100,13000,12800,12500,11900
York,24700,24700,25200,26200,27100,28300,29400,30000,30400,30500,31200
Craven,3400,3500,3500,3500,3600,3500,3500,3500,3300,3400,3300
Hambleton,5900,6100,6300,6400,6500,6300,6200,5900,5700,5500,5300
Harrogate,10300,10400,10500,10800,10900,10500,10200,10000,9700,9000,8600
Richmondshire,5300,5600,6200,6500,6700,6500,6000,5300,4900,4800,4200
Ryedale,3200,3300,3400,3400,3400,3400,3500,3500,3600,3600,3500
Scarborough,8600,8800,9000,9100,9000,9000,8700,8400,8000,7700,7100
Selby,5800,6200,6200,6400,6300,6300,6200,6100,5800,5700,5600
Barnsley,18500,18800,19000,19000,19200,19300,19200,19500,19500,19400,18900
Doncaster,26300,26900,27400,27200,26700,26300,25900,25200,24500,23900,23400
Rotherham,20800,21100,21500,21500,21600,21500,21200,21300,21000,20400,20100
Sheffield,68700,69700,70800,74700,78200,81300,81100,81400,82300,82900,81900
Bradford,49700,49600,49000,48900,49600,48500,47800,47100,46600,46100,46000
Calderdale,15600,15800,15900,16000,16300,16000,15900,15800,15700,15500,15100
Kirklees,38600,38800,38900,39400,40000,40300,40000,40100,39900,39200,38600
Leeds,99200,97400,96000,96200,96900,100300,99600,100800,103700,104900,103900
Wakefield,27000,27300,27400,27400,27300,27200,26800,26600,26200,25600,25100
Derby,24900,25100,25500,26700,27200,27600,27100,26300,26100,26000,25800
Leicester,45700,45400,45500,46400,46600,47700,47700,48100,49400,50100,51500
Nottingham,53300,52300,53200,55400,57800,61600,62300,63200,64500,65700,66000
Rutland,2700,2800,2800,2700,2700,2700,2900,2900,2900,2800,2800
Amber Valley,8300,8500,8800,8900,9000,9100,9300,9300,9200,9000,9000
Bolsover,5900,5900,6100,6000,6100,6200,6300,6300,6300,6100,6100
Chesterfield,7700,7800,8000,8200,8300,8500,8500,8400,8700,8300,8200
Derbyshire Dales,3900,4100,4300,4500,4500,4500,4600,4700,4500,4500,4400
Erewash,8400,8900,9200,9300,9400,9300,9300,9200,9000,8800,8500
High Peak,6500,6800,7100,7300,7400,7400,7500,7500,7400,7200,7000
North East Derbyshire,6700,6900,7100,7200,7300,7300,7300,7400,7300,7200,7000
South Derbyshire,6600,6800,7000,7000,7100,7000,7200,7300,7200,7200,7400
Blaby,6700,6900,6900,7200,7300,7200,7300,7300,7000,7000,6700
Charnwood,21700,21600,21900,22100,22400,23400,23300,24300,25000,25000,25500
Harborough,4900,5100,5400,5500,5600,5600,5900,5900,5900,5700,5800
Hinckley and Bosworth,7300,7500,7600,7600,7600,7600,7600,7600,7300,7300,7300
Melton,3400,3500,3600,3600,3700,3700,3700,3700,3500,3400,3300
