Year,Age,Total
2007,10 to 17,2671139
2007,18 to 24,2499285
2007,25+,21962569
2008,10 to 17,2664978
2008,18 to 24,2533182
2008,25+,22143721
2009,10 to 17,2642213
2009,18 to 24,2556649
2009,25+,22317690
2010,10 to 17,2612698
2010,18 to 24,2576714
2010,25+,22507259
2011,10 to 17,2588104
2011,18 to 24,2598993
2011,25+,22693927
2012,10 to 17,2548411
2012,18 to 24,2592702
2012,25+,22845106
2013,10 to 17,2525731
2013,18 to 24,2566108
2013,25+,22980644
2014,10 to 17,2518826
2014,18 to 24,2551039
2014,25+,23152260
2015,10 to 17,2515534
2015,18 to 24,2546035
2015,25+,23328691
2016,10 to 17,2534633
2016,18 to 24,2517825
2016,25+,23493930
2017,10 to 17,2561630
2017,18 to 24,2485138
2017,25+,23631826
