LAD16CD,LAD16NM,PFA16CD,PFA16NM
E07000144,Broadland,E23000024,Norfolk
E07000006,South Bucks,E23000029,Thames Valley
E07000213,Spelthorne,E23000031,Surrey
E07000145,Great Yarmouth,E23000024,Norfolk
E07000214,Surrey Heath,E23000031,Surrey
E07000007,Wycombe,E23000029,Thames Valley
E07000008,Cambridge,E23000023,Cambridgeshire
E07000215,Tandridge,E23000031,Surrey
E07000146,King's Lynn and West Norfolk,E23000024,Norfolk
E08000034,Kirklees,E23000010,West Yorkshire
E07000009,East Cambridgeshire,E23000023,Cambridgeshire
E07000216,Waverley,E23000031,Surrey
E07000147,North Norfolk,E23000024,Norfolk
E08000035,Leeds,E23000010,West Yorkshire
E07000084,Basingstoke and Deane,E23000030,Hampshire
E07000148,Norwich,E23000024,Norfolk
E08000036,Wakefield,E23000010,West Yorkshire
E07000085,East Hampshire,E23000030,Hampshire
E07000217,Woking,E23000031,Surrey
E07000010,Fenland,E23000023,Cambridgeshire
E07000149,South Norfolk,E23000024,Norfolk
E09000001,City of London,E23000034,City of London
E07000086,Eastleigh,E23000030,Hampshire
E07000218,North Warwickshire,E23000017,Warwickshire
E07000150,Corby,E23000022,Northamptonshire
E07000011,Huntingdonshire,E23000023,Cambridgeshire
E09000002,Barking and Dagenham,E23000001,Metropolitan Police
E07000219,Nuneaton and Bedworth,E23000017,Warwickshire
E07000087,Fareham,E23000030,Hampshire
E07000151,Daventry,E23000022,Northamptonshire
E09000003,Barnet,E23000001,Metropolitan Police
E07000220,Rugby,E23000017,Warwickshire
E06000001,Hartlepool,E23000013,Cleveland
E07000012,South Cambridgeshire,E23000023,Cambridgeshire
E07000088,Gosport,E23000030,Hampshire
E07000152,East Northamptonshire,E23000022,Northamptonshire
E09000004,Bexley,E23000001,Metropolitan Police
E07000221,Stratford-on-Avon,E23000017,Warwickshire
E06000002,Middlesbrough,E23000013,Cleveland
E07000089,Hart,E23000030,Hampshire
E07000026,Allerdale,E23000002,Cumbria
E07000153,Kettering,E23000022,Northamptonshire
E07000222,Warwick,E23000017,Warwickshire
E09000005,Brent,E23000001,Metropolitan Police
E06000003,Redcar and Cleveland,E23000013,Cleveland
E07000090,Havant,E23000030,Hampshire
E07000154,Northampton,E23000022,Northamptonshire
E07000027,Barrow-in-Furness,E23000002,Cumbria
E07000223,Adur,E23000033,Sussex
E09000006,Bromley,E23000001,Metropolitan Police
E06000004,Stockton-on-Tees,E23000013,Cleveland
E07000155,South Northamptonshire,E23000022,Northamptonshire
E07000091,New Forest,E23000030,Hampshire
E07000028,Carlisle,E23000002,Cumbria
E07000224,Arun,E23000033,Sussex
E09000007,Camden,E23000001,Metropolitan Police
E07000156,Wellingborough,E23000022,Northamptonshire
E06000005,Darlington,E23000008,Durham
E07000029,Copeland,E23000002,Cumbria
E07000092,Rushmoor,E23000030,Hampshire
E07000225,Chichester,E23000033,Sussex
E09000008,Croydon,E23000001,Metropolitan Police
E07000163,Craven,E23000009,North Yorkshire
E07000226,Crawley,E23000033,Sussex
E06000006,Halton,E23000006,Cheshire
E07000093,Test Valley,E23000030,Hampshire
E07000030,Eden,E23000002,Cumbria
E09000009,Ealing,E23000001,Metropolitan Police
E07000164,Hambleton,E23000009,North Yorkshire
E07000227,Horsham,E23000033,Sussex
E06000007,Warrington,E23000006,Cheshire
E07000165,Harrogate,E23000009,North Yorkshire
E07000031,South Lakeland,E23000002,Cumbria
E09000010,Enfield,E23000001,Metropolitan Police
E07000094,Winchester,E23000030,Hampshire
E06000008,Blackburn with Darwen,E23000003,Lancashire
E07000228,Mid Sussex,E23000033,Sussex
E07000166,Richmondshire,E23000009,North Yorkshire
E07000032,Amber Valley,E23000018,Derbyshire
E09000011,Greenwich,E23000001,Metropolitan Police
E07000095,Broxbourne,E23000027,Hertfordshire
E06000009,Blackpool,E23000003,Lancashire
E07000229,Worthing,E23000033,Sussex
E07000167,Ryedale,E23000009,North Yorkshire
E07000033,Bolsover,E23000018,Derbyshire
E09000012,Hackney,E23000001,Metropolitan Police
E07000096,Dacorum,E23000027,Hertfordshire
E07000234,Bromsgrove,E23000016,West Mercia
E06000011,East Riding of Yorkshire,E23000012,Humberside
E07000168,Scarborough,E23000009,North Yorkshire
E09000013,Hammersmith and Fulham,E23000001,Metropolitan Police
E07000242,East Hertfordshire,E23000027,Hertfordshire
E07000235,Malvern Hills,E23000016,West Mercia
E07000034,Chesterfield,E23000018,Derbyshire
E07000169,Selby,E23000009,North Yorkshire
E06000010,"Kingston upon Hull, City of",E23000012,Humberside
E07000098,Hertsmere,E23000027,Hertfordshire
E09000014,Haringey,E23000001,Metropolitan Police
E07000236,Redditch,E23000016,West Mercia
E06000012,North East Lincolnshire,E23000012,Humberside
E07000099,North Hertfordshire,E23000027,Hertfordshire
E07000035,Derbyshire Dales,E23000018,Derbyshire
E07000170,Ashfield,E23000019,Nottinghamshire
E09000015,Harrow,E23000001,Metropolitan Police
E07000237,Worcester,E23000016,West Mercia
E07000243,Stevenage,E23000027,Hertfordshire
E09000016,Havering,E23000001,Metropolitan Police
E07000171,Bassetlaw,E23000019,Nottinghamshire
E07000036,Erewash,E23000018,Derbyshire
E06000013,North Lincolnshire,E23000012,Humberside
E09000017,Hillingdon,E23000001,Metropolitan Police
E07000238,Wychavon,E23000016,West Mercia
E07000102,Three Rivers,E23000027,Hertfordshire
E07000172,Broxtowe,E23000019,Nottinghamshire
E07000037,High Peak,E23000018,Derbyshire
E06000014,York,E23000009,North Yorkshire
E09000018,Hounslow,E23000001,Metropolitan Police
E07000239,Wyre Forest,E23000016,West Mercia
E07000103,Watford,E23000027,Hertfordshire
E07000038,North East Derbyshire,E23000018,Derbyshire
E09000019,Islington,E23000001,Metropolitan Police
E06000015,Derby,E23000018,Derbyshire
E07000173,Gedling,E23000019,Nottinghamshire
E07000240,St Albans,E23000027,Hertfordshire
E06000016,Leicester,E23000021,Leicestershire
E07000174,Mansfield,E23000019,Nottinghamshire
E09000020,Kensington and Chelsea,E23000001,Metropolitan Police
E07000105,Ashford,E23000032,Kent
E07000039,South Derbyshire,E23000018,Derbyshire
E07000241,Welwyn Hatfield,E23000027,Hertfordshire
E07000175,Newark and Sherwood,E23000019,Nottinghamshire
E06000017,Rutland,E23000021,Leicestershire
E09000021,Kingston upon Thames,E23000001,Metropolitan Police
E07000106,Canterbury,E23000032,Kent
E07000040,East Devon,E23000035,Devon and Cornwall
E08000001,Bolton,E23000005,Greater Manchester
E06000018,Nottingham,E23000019,Nottinghamshire
E07000176,Rushcliffe,E23000019,Nottinghamshire
E09000022,Lambeth,E23000001,Metropolitan Police
E07000107,Dartford,E23000032,Kent
E07000041,Exeter,E23000035,Devon and Cornwall
E08000002,Bury,E23000005,Greater Manchester
E06000019,"Herefordshire, County of",E23000016,West Mercia
E09000023,Lewisham,E23000001,Metropolitan Police
E07000108,Dover,E23000032,Kent
E07000177,Cherwell,E23000029,Thames Valley
E07000042,Mid Devon,E23000035,Devon and Cornwall
E08000003,Manchester,E23000005,Greater Manchester
E09000024,Merton,E23000001,Metropolitan Police
E07000109,Gravesham,E23000032,Kent
E06000020,Telford and Wrekin,E23000016,West Mercia
E07000178,Oxford,E23000029,Thames Valley
